GeneIDs	lcountsRep1	lcountsRep2	lcountsRep3	lcountsRep4	lcountsRep5	lcountsRep6	mean
NM_001024555	9	3	7	10	12	5	7.666666667
NM_001024556	0	0	0	0	0	0	0
NM_001024558	50	42	46	46	49	40	45.5
NM_001024559	0	0	0	0	0	0	0
NM_001024561	3	2	2	4	1	4	2.666666667
NM_001024562	3	3	0	4	3	1	2.333333333
NM_001024563	0	0	0	0	0	0	0
NM_001024564	3	0	0	3	3	5	2.333333333
NM_001024565	15	16	12	12	16	9	13.33333333
NM_001024566	1	1	2	0	1	3	1.333333333
NM_001024567	0	0	0	0	0	0	0
NM_001024568	1609	1626	1610	1665	1569	1643	1620.333333
NM_001024569	776	780	774	764	731	780	767.5
NM_001024570	4	4	2	5	5	4	4
NM_001024571	5	5	9	5	9	4	6.166666667
NM_001024572	1	3	1	1	2	0	1.333333333
NM_001024573	2	2	3	2	3	2	2.333333333
NM_001024574	3	3	3	1	3	4	2.833333333
NM_001024690	0	0	0	0	0	0	0
NM_001024692	2	2	1	1	2	4	2
NM_001024824	1	0	0	0	1	2	0.666666667
NM_001024929	19	28	24	13	17	24	20.83333333
NM_001024930	0	0	0	0	0	0	0
NM_001025082	0	0	0	0	0	0	0
NM_001025206	31	36	21	30	46	36	33.33333333
NM_001025314	225	231	258	244	234	213	234.1666667
NM_001025315	555	573	564	540	594	536	560.3333333
NM_001025316	1762	1761	1808	1803	1749	1716	1766.5
NM_001025317	723	769	743	749	654	697	722.5
NM_001025318	6	5	5	5	8	9	6.333333333
NM_001025319	5	5	4	4	1	7	4.333333333
NM_001025320	3	4	1	3	2	1	2.333333333
NM_001025322	48	34	38	41	39	31	38.5
NM_001025324	0	0	0	0	0	0	0
NM_001025325	1	0	0	1	1	1	0.666666667
NM_001025326	9	8	3	11	7	10	8
NM_001025327	25	21	19	29	21	31	24.33333333
NM_001025329	19	17	18	19	15	24	18.66666667
NM_001025330	5	4	9	5	2	7	5.333333333
NM_001025331	17	15	24	15	14	22	17.83333333
NM_001025332	0	0	0	0	0	0	0
NM_001025333	0	0	0	0	0	0	0
NM_001025334	21	14	23	22	26	27	22.16666667
NM_001025336	0	0	0	0	0	0	0
NM_001025337	7	11	7	6	10	6	7.833333333
NM_001025339	371	412	347	380	358	336	367.3333333
NM_001025340	1784	1745	1814	1862	1797	1806	1801.333333
NM_001025341	825	819	821	847	852	794	826.3333333
NM_001025342	363	374	338	387	399	382	373.8333333
NM_001025343	5	1	6	3	4	3	3.666666667
NM_001025345	20	24	18	17	15	6	16.66666667
NM_001025347	2	4	1	1	2	1	1.833333333
NM_001025348	0	0	0	0	0	0	0
NM_001025349	13	8	16	13	13	19	13.66666667
NM_001025350	19	26	22	17	14	20	19.66666667
NM_001025569	57	51	56	39	58	71	55.33333333
NM_001029845	71	66	66	74	87	93	76.16666667
NM_001030298	1	3	0	2	0	0	1
